вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
OM8	0 427 190 11 4	0 435 198 7 0	0 402 165 8 0	0 403 166 11 3	1 386 149 9 2	0 323 86 8 1	0 379 142 8 1	0 354 117 13 6	0 383 145 14 6	0 376 139 12 5	0 392 155 8 1	0 366 129 10 3	
OM9	0 470 221 18 5	0 461 211 13 0	0 429 179 14 1	0 411 161 11 -2	0 399 149 14 1	0 425 176 7 -6	0 398 148 27 14	0 393 143 13 0	0 373 122 11 -2	0 400 150 9 -4	0 433 183 18 5	0 389 139 10 -3	
OM10	0 440 190 7 -2	0 448 198 15 6	1 468 217 8 -1	0 416 165 9 0	0 425 175 8 -1	0 407 157 10 1	0 380 130 11 2	0 373 123 9 0	0 398 146 7 -2	0 400 150 11 2	0 392 142 7 -2	0 370 120 10 1	
OM11	1 429 177 5 1	0 462 209 11 7	0 463 210 9 5	0 439 186 10 6	1 388 135 3 -1	0 390 138 2 -2	0 414 161 6 2	0 378 125 7 3	0 394 140 5 0	0 380 127 2 -2	0 387 134 4 0	0 371 118 6 2	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 192 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	399 903 729 2112 2109	386 918 743 2088 2085	273 769 594 1966 1963	246 726 551 2021 2018	137 740 565 1582 1579	112 718 544 1635 1632	50 737 562 1056 1053	47 770 596 1084 1081	16 1007 832 425 422	9 1055 881 426 423	0 1020 846 331 328	0 981 806 374 371	
OM1	842 1370 1173 2138 2128	789 1345 1147 2209 2199	610 1166 968 2396 2386	657 1119 921 2446 2436	348 967 769 1964 1954	323 917 720 1974 1964	132 973 775 1368 1358	127 975 777 1291 1281	17 1129 930 462 452	9 1131 933 433 423	0 1112 914 289 279	0 1111 913 288 278	
OM2	381 1224 1056 1879 1877	407 1317 1149 1860 1858	260 1142 973 1752 1750	292 1159 990 1767 1765	117 1320 1152 1144 1142	145 1305 1137 1141 1139	62 1309 1141 689 687	49 1330 1162 698 696	0 1231 1062 235 233	0 1234 1066 222 220	0 1257 1089 69 67	0 1223 1055 70 68	
OM3	528 977 792 2279 2274	570 965 780 2296 2291	355 810 625 2009 2004	344 771 586 2033 2028	170 825 640 1442 1437	138 825 640 1497 1492	62 1399 1214 861 856	53 1382 1197 835 830	8 1093 907 365 360	14 1071 886 364 359	0 1078 893 228 223	0 1072 887 235 230	
OM4	444 825 652 2166 2162	430 803 630 2150 2146	212 760 586 1780 1776	184 684 510 1824 1820	66 833 660 1135 1131	78 938 765 1087 1083	30 1022 849 624 620	30 984 811 666 662	8 992 818 436 432	7 962 789 447 443	0 1036 863 118 114	0 1083 910 111 107	
OM5	175 676 504 1730 1726	214 774 601 1726 1722	78 786 613 1236 1232	82 783 610 1280 1276	42 1113 940 652 648	40 1076 904 695 691	23 936 763 530 526	23 914 741 526 522	1 910 736 469 465	0 932 759 468 464	0 888 715 33 29	0 847 674 39 35	
OM6	398 874 690 1985 1977	382 916 732 1995 1987	182 1405 1220 1128 1120	174 1406 1221 1154 1146	47 1020 836 762 754	47 1036 852 747 739	14 1201 1017 395 387	16 1148 964 381 373	0 1066 881 373 365	0 1027 843 380 372	0 638 454 20 12	0 632 448 15 7	
OM7	45 798 630 967 963	45 819 651 948 944	14 910 741 547 543	11 912 744 580 576	2 1086 918 301 297	1 1090 922 299 295	0 1023 855 310 306	0 1075 907 301 297	0 1105 936 200 196	0 1118 950 179 175	0 450 282 6 2	0 444 276 8 4	
OM8	7 815 648 580 577	6 852 684 588 585	1 1098 930 257 254	1 1141 973 243 240	0 1092 924 263 260	0 1046 879 286 283	0 1078 910 261 258	0 1059 891 256 253	0 974 806 26 23	0 979 812 29 26	0 323 156 3 0	0 311 143 3 0	
OM9	12 1026 827 563 553	14 1075 875 556 546	0 1250 1050 256 246	0 1205 1005 256 246	0 1160 960 293 283	0 1143 944 286 276	0 1236 1036 161 151	0 1266 1067 147 137	0 813 612 19 9	0 798 599 13 3	0 379 180 12 2	0 344 144 4 -6	
OM10	6 1137 974 278 272	2 1142 979 286 280	0 1091 928 302 296	1 1072 909 304 298	0 1095 932 161 155	0 1118 955 143 137	0 937 774 55 49	0 904 741 53 47	0 443 279 10 4	1 428 265 10 4	0 258 95 11 5	0 270 107 4 -2	
OM11	0 1003 849 323 319	0 1107 953 298 294	0 1142 987 108 104	0 1137 982 122 118	0 873 719 40 36	0 865 711 32 28	0 565 411 8 4	0 561 407 14 10	0 296 141 6 2	0 328 174 4 0	0 283 129 8 4	0 229 75 1 -3	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 193 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	1 1134 979 178 177	0 1184 1029 187 186	1 970 814 43 42	0 935 779 51 50	1 615 460 11 10	0 596 441 10 9	1 444 289 7 6	1 421 266 3 2	0 279 123 2 1	0 312 157 1 0	0 259 104 2 1	0 250 95 1 0	
OM1	0 1 -1 0 0	0 0 -2 0 0	0 4 2 0 0	0 3 1 0 0	0 2 0 0 0	0 3 1 0 0	0 2 0 0 0	0 5 3 0 0	0 2 0 0 0	0 6 4 0 0	0 4 2 0 0	0 4 2 0 0	
OM2	0 739 571 5 2	0 784 616 7 4	0 452 284 5 2	0 451 283 6 3	0 354 186 3 0	0 341 173 6 3	0 284 116 6 3	0 307 139 3 0	0 326 157 2 -1	0 296 128 5 2	0 258 90 5 2	0 325 157 4 1	
OM3	0 571 375 9 4	0 575 379 7 2	0 400 203 10 5	0 434 237 6 1	0 366 170 7 2	0 352 156 9 4	1 334 138 8 3	0 300 104 12 7	1 341 144 6 1	0 320 124 8 3	1 297 101 10 5	0 295 99 10 5	
OM4	0 356 181 5 -2	0 375 200 9 2	0 295 120 9 2	0 272 97 9 2	0 293 118 6 -1	0 272 97 9 2	0 271 96 8 1	0 280 105 12 5	0 264 88 9 2	0 255 80 5 -2	0 293 118 6 -1	0 255 80 4 -3	
OM5	1 366 177 6 1	0 358 169 0 -5	0 285 95 6 1	0 307 118 3 -2	0 285 96 0 -5	0 285 96 12 7	0 303 114 6 1	0 331 142 10 5	0 304 114 8 3	0 288 99 3 -2	0 320 131 1 -4	0 314 125 6 1	
OM6	0 369 167 9 4	0 412 209 12 7	0 326 123 9 4	0 314 111 5 0	0 336 133 11 6	0 352 150 9 4	0 304 101 9 4	0 347 144 6 1	0 321 117 10 5	0 320 117 3 -2	0 354 151 7 2	0 331 128 7 2	
OM7	0 393 187 2 -4	0 389 182 8 2	0 327 120 7 1	0 361 154 5 -1	0 320 113 9 3	0 360 154 6 0	0 329 122 8 2	0 351 144 6 0	1 296 88 4 -2	0 345 138 2 -4	1 340 133 4 -2	0 340 133 4 -2	
OM8	0 376 166 6 -1	0 407 197 4 -3	0 357 146 5 -2	0 360 149 12 5	0 373 163 11 4	0 342 132 2 -5	0 334 124 7 0	0 329 119 9 2	0 365 153 5 -2	0 353 143 4 -3	0 358 148 8 1	0 340 130 6 -1	
OM9	0 426 191 5 -2	0 407 171 11 4	0 370 134 7 0	0 382 146 7 0	0 341 105 11 4	0 402 166 12 5	0 386 150 14 7	0 367 131 6 -1	0 387 150 12 5	0 386 150 14 7	0 411 175 8 1	0 377 141 10 3	
OM10	0 409 162 8 1	0 441 193 4 -3	0 412 164 11 4	0 411 163 7 0	0 400 152 7 0	0 375 128 7 0	0 442 194 10 3	0 352 104 10 3	0 401 152 7 0	0 392 144 8 1	0 382 134 9 2	0 420 172 9 2	
OM11	0 432 182 1 -1	0 499 249 3 1	0 436 185 7 5	0 419 169 3 1	0 427 177 5 3	0 347 97 3 1	0 414 164 4 2	0 389 139 6 4	0 383 132 4 2	0 383 133 4 2	0 431 181 1 -1	0 374 124 1 -1	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 207 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	98 581 421 1520 1517	95 580 420 1563 1560	59 1329 1169 978 975	63 1374 1214 991 988	19 906 746 637 634	19 887 727 625 622	18 1023 863 370 367	11 1033 873 359 356	0 879 718 442 439	2 934 774 449 446	0 656 496 25 22	0 706 546 26 23	
OM1	466 847 659 2451 2444	433 843 655 2450 2443	131 910 722 1648 1641	142 890 702 1673 1666	53 1075 887 963 956	70 1165 977 963 956	27 1010 822 589 582	23 1025 837 616 609	1 909 720 502 495	2 923 735 514 507	0 888 700 43 36	0 885 697 32 25	
OM2	105 599 418 1566 1563	100 584 403 1537 1534	44 783 601 943 940	33 766 584 985 982	13 1092 911 545 542	11 1031 850 575 572	8 1035 854 391 388	11 980 799 417 414	0 934 752 449 446	0 908 727 449 446	0 810 629 28 25	1 804 623 31 28	
OM3	93 861 678 1414 1410	94 835 651 1410 1406	32 1061 877 727 723	34 1000 816 750 746	13 992 808 519 515	9 970 787 528 524	1 1153 969 293 289	4 1124 940 289 285	0 980 795 376 372	0 1005 822 371 367	0 672 489 11 7	0 702 518 9 5	
OM4	66 964 802 1164 1161	72 922 759 1161 1158	17 1093 930 582 579	19 1062 899 566 563	0 1123 960 365 362	0 1094 932 366 363	0 1157 994 210 207	0 1122 960 226 223	0 1100 937 235 232	0 1109 947 224 221	0 526 364 2 -1	0 531 368 9 6	
OM5	63 896 722 1100 1096	61 873 699 1116 1112	18 939 765 595 591	15 873 699 596 592	5 1064 890 344 340	11 1083 909 358 354	4 966 792 394 390	3 1026 852 364 360	0 1055 880 294 290	0 1015 841 302 298	0 488 314 4 0	0 464 290 11 7	
OM6	111 1338 1146 1095 1089	121 1299 1106 1114 1108	38 1021 828 643 637	32 1099 906 599 593	10 1166 973 370 364	7 1151 959 348 342	0 1013 820 453 447	0 985 792 454 448	0 1094 900 144 138	0 1118 925 136 130	0 416 223 5 -1	0 418 225 4 -2	
OM7	17 923 758 510 506	15 934 768 561 557	10 1148 982 223 219	5 1116 950 220 216	0 998 832 368 364	1 981 815 382 378	0 1012 846 330 326	0 942 776 368 364	0 835 668 47 43	0 843 677 34 30	0 331 165 3 -1	1 286 120 6 2	
OM8	10 1093 926 365 359	9 1089 921 406 400	1 1042 874 350 344	1 1062 894 381 375	0 1037 869 338 332	0 974 807 355 349	0 1085 917 147 141	0 1078 911 131 125	0 588 420 18 12	0 596 429 15 9	0 296 129 3 -3	0 278 110 2 -4	
OM9	7 1132 956 310 303	4 1171 995 277 270	0 1052 876 374 367	0 1098 922 316 309	0 1127 951 177 170	0 1135 959 162 155	0 947 771 50 43	0 911 735 65 58	0 467 290 12 5	0 482 306 7 0	0 309 133 6 -1	0 298 122 7 0	
OM10	0 1026 861 359 355	0 1073 907 334 330	0 1126 960 205 201	0 1047 881 219 215	0 948 782 73 69	1 948 782 58 54	0 695 529 11 7	0 653 487 13 9	0 363 196 9 5	1 349 183 6 2	0 287 121 3 -1	0 284 118 3 -1	
OM11	0 1102 941 248 245	1 1119 958 255 252	0 951 789 78 75	0 946 784 74 71	0 684 523 13 10	0 631 470 19 16	0 432 271 6 3	0 445 284 8 5	0 307 145 8 5	0 315 154 4 1	0 278 117 5 2	0 225 64 5 2	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 208 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	0 1048 888 78 74	0 1043 883 76 72	0 661 501 18 14	0 691 531 18 14	2 450 290 8 4	0 449 289 6 2	0 327 167 10 6	0 316 156 3 -1	1 249 88 6 2	0 250 90 5 1	0 252 92 3 -1	0 254 94 3 -1	
OM1	0 778 617 18 13	0 851 690 19 14	0 527 365 14 9	0 483 322 5 0	0 392 231 4 -1	0 364 203 7 2	0 343 182 7 2	0 293 132 3 -2	0 250 88 10 5	0 292 131 6 1	0 292 131 4 -1	0 289 128 2 -3	
OM2	0 487 336 5 0	0 477 326 11 6	0 334 183 11 6	0 361 210 7 2	0 334 183 2 -3	0 278 127 5 0	0 280 129 7 2	0 256 105 6 1	0 244 92 6 1	0 240 89 9 4	0 265 114 4 -1	0 221 70 10 5	
