вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
OM9	0 1126 965 229 225	0 1131 970 220 216	0 1060 899 56 52	0 1033 872 65 61	0 733 572 18 14	0 744 583 10 6	0 437 276 10 6	0 473 312 13 9	0 283 121 4 0	0 315 154 8 4	0 262 101 7 3	0 253 92 5 1	
OM10	0 1189 1020 96 87	0 1186 1017 91 82	0 870 701 22 13	0 862 693 26 17	0 521 352 15 6	0 583 414 10 1	0 410 241 8 -1	0 377 208 10 1	0 313 143 9 0	0 286 117 4 -5	0 229 60 10 1	0 217 48 9 0	
OM11	0 887 733 37 34	0 966 811 30 27	0 536 381 5 2	0 587 432 6 3	0 376 221 5 2	0 334 180 5 2	0 253 98 4 1	0 302 147 4 1	0 254 98 1 -2	0 235 80 1 -2	0 259 104 1 -2	0 253 98 2 -1	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 196 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	0 675 518 15 12	0 649 492 19 16	0 411 254 4 1	0 443 286 7 4	0 300 143 4 1	0 317 160 4 1	0 294 137 6 3	0 248 91 3 0	0 279 121 2 -1	0 242 85 1 -2	0 248 91 5 2	0 238 81 4 1	
OM1	0 438 281 9 4	1 518 360 3 -2	0 388 230 5 0	0 343 185 13 8	0 283 125 8 3	0 309 151 9 4	0 273 115 3 -2	0 234 76 12 7	0 265 106 7 2	0 278 120 3 -2	0 268 110 9 4	0 262 104 6 1	
OM2	0 377 211 4 -1	0 366 200 9 4	0 318 151 6 1	0 322 155 8 3	0 295 129 6 1	0 271 105 8 3	0 269 103 7 2	0 259 93 5 0	0 274 107 3 -2	0 281 115 4 -1	0 281 115 1 -4	0 276 110 4 -1	
OM3	0 377 193 7 2	0 413 229 8 3	0 321 136 7 2	0 323 139 12 7	0 310 126 5 0	0 304 120 13 8	0 282 98 4 -1	0 269 85 3 -2	0 293 108 3 -2	0 313 129 7 2	0 284 100 3 -2	0 309 125 3 -2	
OM4	0 333 136 1 0	0 358 160 2 1	0 335 137 1 0	0 328 130 0 -1	0 326 128 3 2	0 341 144 4 3	0 336 138 1 0	0 278 80 3 2	0 301 102 2 1	0 314 116 4 3	0 313 115 1 0	0 292 94 2 1	
OM5	0 325 140 2 -4	0 346 160 9 3	0 329 143 9 3	0 324 138 9 3	0 290 104 9 3	0 279 94 10 4	0 284 98 7 1	0 284 99 6 0	0 288 102 4 -2	0 305 120 7 1	0 318 133 5 -1	0 318 132 8 2	
OM6	0 372 177 1 -7	0 333 138 13 5	1 301 105 5 -3	0 315 120 10 2	0 310 115 8 0	0 335 140 9 1	0 280 85 12 4	0 323 128 10 2	0 314 118 8 0	0 293 98 3 -5	0 330 135 11 3	0 300 105 8 0	
OM7	0 362 166 9 2	0 365 168 3 -4	0 338 141 4 -3	0 311 114 5 -2	0 336 139 3 -4	0 288 92 5 -2	0 320 123 4 -3	0 317 120 13 6	0 314 116 7 0	0 336 139 9 2	0 326 129 8 1	0 295 98 7 0	
OM8	0 424 179 19 4	0 467 222 15 0	0 390 145 20 5	0 402 157 20 5	0 379 134 21 6	0 391 146 12 -3	0 354 109 11 -4	0 364 119 11 -4	0 373 127 13 -2	0 399 154 19 4	0 378 133 16 1	0 391 146 11 -4	
OM9	0 401 165 7 -2	0 450 213 10 1	0 397 160 4 -5	0 402 165 8 -1	1 368 131 5 -4	0 353 117 7 -2	0 369 132 3 -6	0 356 119 8 -1	0 381 143 13 4	0 352 115 12 3	0 401 164 7 -2	0 368 131 15 6	
OM10	0 466 196 13 0	0 526 256 12 -1	0 462 192 26 13	0 467 197 14 1	0 452 182 11 -2	0 454 184 12 -1	0 409 139 19 6	0 466 196 16 3	0 434 163 14 1	0 457 187 7 -6	0 433 163 8 -5	0 432 162 11 -2	
OM11	0 594 287 11 -3	1 571 263 14 0	0 514 206 15 1	0 491 183 13 -1	0 509 201 14 0	0 500 193 12 -2	0 519 211 20 6	0 510 203 13 -1	0 495 186 24 10	0 491 184 15 1	0 507 200 13 -1	0 507 199 14 0	
