вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
OM8	0 376 166 6 -1	0 407 197 4 -3	0 357 146 5 -2	0 360 149 12 5	0 373 163 11 4	0 342 132 2 -5	0 334 124 7 0	0 329 119 9 2	0 365 153 5 -2	0 353 143 4 -3	0 358 148 8 1	0 340 130 6 -1	
OM9	0 426 191 5 -2	0 407 171 11 4	0 370 134 7 0	0 382 146 7 0	0 341 105 11 4	0 402 166 12 5	0 386 150 14 7	0 367 131 6 -1	0 387 150 12 5	0 386 150 14 7	0 411 175 8 1	0 377 141 10 3	
OM10	0 409 162 8 1	0 441 193 4 -3	0 412 164 11 4	0 411 163 7 0	0 400 152 7 0	0 375 128 7 0	0 442 194 10 3	0 352 104 10 3	0 401 152 7 0	0 392 144 8 1	0 382 134 9 2	0 420 172 9 2	
OM11	0 432 182 1 -1	0 499 249 3 1	0 436 185 7 5	0 419 169 3 1	0 427 177 5 3	0 347 97 3 1	0 414 164 4 2	0 389 139 6 4	0 383 132 4 2	0 383 133 4 2	0 431 181 1 -1	0 374 124 1 -1	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 194 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	0 498 245 7 3	0 494 240 6 2	0 451 197 5 1	0 471 217 4 0	0 414 160 12 8	0 440 187 6 2	0 473 219 5 1	0 435 181 7 3	0 471 216 8 4	0 418 164 9 5	0 437 183 11 7	0 410 156 3 -1	
OM1	0 471 205 6 1	0 520 254 9 4	0 498 231 6 1	0 445 179 3 -2	0 411 145 12 7	0 447 181 6 1	0 416 150 5 0	0 443 177 7 2	0 440 172 3 -2	0 411 145 8 3	0 441 175 9 4	0 436 170 7 2	
OM2	0 488 208 6 0	0 551 271 4 -2	0 464 184 11 5	0 474 194 9 3	0 507 227 8 2	0 451 171 7 1	0 456 176 6 0	0 488 208 8 2	1 454 172 7 1	0 490 210 3 -3	1 487 207 8 2	0 476 196 8 2	
OM3	0 623 297 7 2	0 651 325 6 1	0 578 251 10 4	0 561 234 3 -2	0 590 264 4 -1	0 570 244 4 -1	0 509 183 3 -2	0 510 184 8 3	0 557 229 3 -3	0 562 236 10 5	0 554 228 8 3	0 507 181 7 2	
OM4	0 618 281 9 3	0 691 353 17 11	0 591 252 9 3	0 576 237 8 2	0 546 208 7 1	0 569 231 8 2	0 552 214 9 3	0 558 220 8 2	0 575 235 9 3	0 584 246 9 3	1 578 240 10 4	0 541 203 13 7	
OM5	0 636 304 9 1	0 612 279 16 8	0 598 265 18 10	0 571 238 12 4	0 515 182 7 -1	0 552 220 10 2	0 568 235 11 3	0 519 186 7 -1	0 520 185 5 -3	0 553 220 7 -1	0 586 253 7 -1	0 530 197 12 4	
OM6	0 631 297 7 -1	0 653 318 12 4	0 602 267 13 5	0 550 215 3 -5	0 577 242 12 4	0 578 244 9 1	0 566 231 10 2	0 558 223 4 -4	0 560 223 6 -2	0 588 253 6 -2	0 600 265 14 6	0 559 224 10 2	
OM7	0 720 353 7 -1	0 725 357 16 8	0 650 281 23 15	0 665 297 7 -1	0 691 323 7 -1	0 623 256 14 6	1 664 296 12 4	0 569 201 8 0	0 612 242 10 2	0 624 256 11 3	0 671 303 9 1	0 595 227 12 4	
OM8	0 768 339 8 -1	0 857 428 4 -5	0 736 306 10 1	0 741 311 5 -4	0 754 325 5 -4	0 739 310 8 -1	0 758 329 4 -5	0 729 300 8 -1	1 677 245 5 -4	0 732 303 18 9	0 743 314 5 -4	0 695 266 5 -4	
OM9	0 847 414 7 0	0 863 429 12 5	0 742 308 2 -5	0 743 309 12 5	0 752 318 7 0	0 735 302 8 1	0 715 281 8 1	0 739 305 8 1	0 724 288 7 0	0 729 296 11 4	0 750 317 10 3	0 689 255 9 2	
OM10	0 1044 497 15 5	0 1078 529 20 10	1 996 447 8 -2	0 950 401 15 5	0 929 380 13 3	0 988 440 19 9	0 908 359 13 3	0 883 335 8 -2	0 923 372 9 -1	0 943 395 12 2	1 970 422 18 8	1 946 397 7 -3	
OM11	0 1096 525 16 6	0 1052 480 20 10	0 1036 464 6 -4	0 1027 455 13 3	0 947 375 12 2	0 949 378 13 3	0 949 377 14 4	0 857 286 9 -1	0 912 337 13 3	0 967 396 13 3	0 998 427 16 6	0 913 341 13 3	
